metric,unit,median,min,max,run1,run2,run3
Duration,msecond,8.68,8.66,8.68,8.68,8.66,8.68
Memory Throughput,Gbyte/second,16.39,16.38,16.42,16.39,16.42,16.38
DRAM Throughput,%,1.67,1.67,1.67,1.67,1.67,1.67
L1/TEX Cache Throughput,%,60.41,60.39,60.41,60.41,60.39,60.41
L2 Cache Throughput,%,87.84,87.79,88.04,87.84,88.04,87.79
Compute (SM) Throughput,%,59.49,59.46,59.62,59.49,59.62,59.46
SM Busy,%,30.2,30.18,30.2,30.2,30.18,30.2
Mem Busy,%,87.84,87.79,88.04,87.84,88.04,87.79
Max Bandwidth,%,87.66,87.62,87.87,87.66,87.87,87.62
L1/TEX Hit Rate,%,5.89,5.89,5.89,5.89,5.89,5.89
L2 Hit Rate,%,99.71,99.71,99.71,99.71,99.71,99.71
Executed Ipc Active,inst/cycle,1.21,1.21,1.21,1.21,1.21,1.21
Issue Slots Busy,%,30.2,30.18,30.2,30.2,30.18,30.2
One or More Eligible,%,30.19,30.19,30.19,30.19,30.19,30.19
No Eligible,%,69.81,69.81,69.81,69.81,69.81,69.81
Active Warps Per Scheduler,warp,3.95,3.95,3.95,3.95,3.95,3.95
Eligible Warps Per Scheduler,warp,0.38,0.38,0.38,0.38,0.38,0.38
Warp Cycles Per Issued Instruction,cycle,13.07,13.07,13.07,13.07,13.07,13.07
Warp Cycles Per Executed Instruction,cycle,13.07,13.07,13.07,13.07,13.07,13.07
Avg. Active Threads Per Warp,,29.52,29.52,29.52,29.52,29.52,29.52
Avg. Not Predicated Off Threads Per Warp,,27.37,27.37,27.37,27.37,27.37,27.37
Block Size,,128.0,128.0,128.0,128.0,128.0,128.0
Grid Size,,16392.0,16392.0,16392.0,16392.0,16392.0,16392.0
Registers Per Thread,register/thread,91.0,91.0,91.0,91.0,91.0,91.0
Shared Memory Configuration Size,Kbyte,102.4,102.4,102.4,102.4,102.4,102.4
Dynamic Shared Memory Per Block,Kbyte/block,21.76,21.76,21.76,21.76,21.76,21.76
Waves Per SM,,32.02,32.02,32.02,32.02,32.02,32.02
Theoretical Occupancy,%,33.33,33.33,33.33,33.33,33.33,33.33
Achieved Occupancy,%,32.89,32.88,32.89,32.89,32.88,32.89
Achieved Active Warps Per SM,warp,15.79,15.78,15.79,15.79,15.78,15.79
Branch Efficiency,%,40.03,40.03,40.03,40.03,40.03,40.03
Avg. Divergent Branches,,99712.0,99712.0,99712.0,99712.0,99712.0,99712.0
