operation,start_time_ns,duration_ns,size,throughput,source,destination
1,173561189,704,2500,3.5511363636363638,1,2
1,174188141,352,260,0.7386363636363636,1,2
1,174427792,384,1,0.0026041666666666665,1,2
1,174552273,384,4,0.010416666666666666,1,2
1,174579058,1632,16384,10.03921568627451,1,2
1,174602770,2144,16384,7.641791044776119,1,2
1,174622482,384,4,0.010416666666666666,1,2
8,265342615,1152,16384,14.222222222222221,2,2
8,265488536,1056,4,0.003787878787878788,2,2
1,273590112,640,8192,12.8,1,2
1,1154768159,2144,2500,1.166044776119403,1,2
2,1154770239,1120,4,0.0035714285714285713,2,1
1,1154781215,416,260,0.625,1,2
1,1154783615,768,1,0.0013020833333333333,1,2
1,1154787679,352,4,0.011363636363636364,1,2
1,1154793407,2912,16384,5.626373626373627,1,2
1,1154797343,2496,16384,6.564102564102564,1,2
1,1154804671,768,4,0.005208333333333333,1,2
8,1154815007,1024,16384,16.0,2,2
8,1154818623,992,4,0.004032258064516129,2,2
1,1154827200,1760,8192,4.654545454545454,1,2
2,1396696906,1504,4,0.0026595744680851063,2,1
1,1396696938,2304,2500,1.0850694444444444,1,2
1,1396705002,352,260,0.7386363636363636,1,2
1,1396706826,704,1,0.0014204545454545455,1,2
1,1396710666,352,4,0.011363636363636364,1,2
1,1396714123,1984,16384,8.258064516129032,1,2
1,1396717067,2304,16384,7.111111111111111,1,2
1,1396727403,736,4,0.005434782608695652,1,2
8,1396737419,992,16384,16.516129032258064,2,2
8,1396740779,992,4,0.004032258064516129,2,2
1,1396755083,1408,8192,5.818181818181818,1,2
1,1669872996,2432,2500,1.0279605263157894,1,2
2,1669876068,416,4,0.009615384615384616,2,1
1,1669885476,384,260,0.6770833333333334,1,2
1,1669887748,768,1,0.0013020833333333333,1,2
1,1669892068,352,4,0.011363636363636364,1,2
1,1669898564,2368,16384,6.918918918918919,1,2
1,1669901892,2592,16384,6.320987654320987,1,2
1,1669907493,832,4,0.004807692307692308,1,2
8,1669918021,992,16384,16.516129032258064,2,2
8,1669921637,992,4,0.004032258064516129,2,2
1,1669932389,1952,8192,4.19672131147541,1,2
2,1983326463,960,4,0.004166666666666667,2,1
1,2049854613,448,2500,5.580357142857143,1,2
1,2050151769,320,260,0.8125,1,2
1,2050345563,352,1,0.002840909090909091,1,2
1,2050520221,352,4,0.011363636363636364,1,2
1,2050584350,1952,16384,8.39344262295082,1,2
1,2050630879,1824,16384,8.982456140350877,1,2
1,2050666207,352,4,0.011363636363636364,1,2
8,2051028580,960,16384,17.066666666666666,2,2
8,2051109669,928,4,0.004310344827586207,2,2
1,2051414185,576,8192,14.222222222222221,1,2
2,2263921440,864,4,0.004629629629629629,2,1
1,2263925536,2624,2500,0.9527439024390244,1,2
1,2263936896,384,260,0.6770833333333334,1,2
1,2263939136,832,1,0.001201923076923077,1,2
1,2263943232,352,4,0.011363636363636364,1,2
1,2263951137,2432,16384,6.7368421052631575,1,2
1,2263954625,2752,16384,5.953488372093023,1,2
1,2263968097,1216,4,0.003289473684210526,1,2
8,2263979489,1024,16384,16.0,2,2
8,2263983105,992,4,0.004032258064516129,2,2
1,2263993121,1888,8192,4.338983050847458,1,2
2,2503090992,2816,4,0.0014204545454545455,2,1
1,2503090992,2368,2500,1.0557432432432432,1,2
1,2503103056,384,260,0.6770833333333334,1,2
1,2503105104,736,1,0.001358695652173913,1,2
1,2503108784,352,4,0.011363636363636364,1,2
1,2503116560,2784,16384,5.885057471264368,1,2
1,2503120400,2400,16384,6.826666666666667,1,2
1,2503125584,960,4,0.004166666666666667,1,2
8,2503135824,992,16384,16.516129032258064,2,2
8,2503139344,960,4,0.004166666666666667,2,2
1,2503150384,1984,8192,4.129032258064516,1,2
1,2777712905,1888,2500,1.3241525423728813,1,2
2,2777713929,1024,4,0.00390625,2,1
1,2777725065,384,260,0.6770833333333334,1,2
1,2777726985,736,1,0.001358695652173913,1,2
1,2777730665,352,4,0.011363636363636364,1,2
1,2777738473,2208,16384,7.420289855072464,1,2
1,2777741737,2144,16384,7.641791044776119,1,2
1,2777747369,896,4,0.004464285714285714,1,2
8,2777757417,992,16384,16.516129032258064,2,2
8,2777760905,992,4,0.004032258064516129,2,2
1,2777772298,2016,8192,4.063492063492063,1,2
2,3091056854,896,4,0.004464285714285714,2,1
